,,,,,,,,,,,,,
,SEGREDO DE JUSTIÇA,,,,,,,,,,,,
,Endereço das ERBs originadas/recebidas   Ref. 38703\2019 - TBRA - VIVO SP,,,,,,,,,,,,
,Linha:79996479713    Período:26/01/2019 00:00:00 a 26/03/2019 21:43:10    Data Solicitação:26/03/2019,,,,,,,,,,,,
,,,,,,,,,,,,,
CGI,CCC,Sigla,ERB,Sigla,Set,Azi,Tecnologia,Latitude,Longitude,UF,Cidade,Bairro,Endereço
724-10-41511-50847,571,MWRCTPC,5084,WVRF2,7,300,WCDMA,"-23-33-17,16","-46-34-24,98",SP,SÃO PAULO,VILA REGENTE FEIJÓ,"RUA GENERAL CALADO, 158 CONDOMÍNIO EDIFÍCIO CASTEL"
724-10-41011-52634,571,MWTCTPD,5263,WAC21,4,0,WCDMA,"-23-34-18,40","-46-38-01,00",SP,SÃO PAULO,ACLIMACAO,"R LOUREIRO DA CRUZ, 296"
724-10-41511-61555,571,MWRCTPC,6155,W4PD1,5,160,WCDMA,"-23-33-1,04","-46-35-0,72",SP,SÃO PAULO,QUARTA PARADA,"RUA SERRA DE JAIRÉ, 941 CONDOMÍNIO EDIFÍCIO SÃO MA"
724-10-41511-61557,571,MWRCTPC,6155,W4PD1,7,40,WCDMA,"-23-33-1,04","-46-35-0,72",SP,SÃO PAULO,QUARTA PARADA,"RUA SERRA DE JAIRÉ, 941 CONDOMÍNIO EDIFÍCIO SÃO MA"
724-06-04561-12186,6570,MWATCOA,1218,WTAR2,6,230,WCDMA,"-15-51-30,07","-47-54-38,90",DF,BRASÍLIA,SETOR DE HABITAÇÕES INDIVIDUAI,QUADRA SHIS QI 5 ÁREA ESPECIAL 12 VI COMAR
724-11-40475-20741,7565,MWATCSA,2074,WRRL2,1,0,WCDMA,"-11-29-18,19","-37-55-50,43",BA,RIO REAL,Centro,"ESQUINA DA RUA SÃO PAULO C/ A RUA PROF, EDVALDO BO"
724-11-40475-20742,7565,MWATCSA,2074,WRRL2,2,120,WCDMA,"-11-29-18,19","-37-55-50,43",BA,RIO REAL,Centro,"ESQUINA DA RUA SÃO PAULO C/ A RUA PROF, EDVALDO BO"
724-11-40475-20745,7565,MWATCSA,2074,WRRL2,5,0,WCDMA,"-11-29-18,19","-37-55-50,43",BA,RIO REAL,Centro,"ESQUINA DA RUA SÃO PAULO C/ A RUA PROF, EDVALDO BO"
724-11-40475-22281,7565,MWATCSA,2228,WRIR2,1,50,WCDMA,"-11-29-15,2","-37-56-07,10",BA,RIO REAL,CENTRO,"RUA OLAVO BILAC, 127"
724-11-40475-22285,7565,MWATCSA,2228,WRIR2,5,50,WCDMA,"-11-29-15,2","-37-56-07,10",BA,RIO REAL,CENTRO,"RUA OLAVO BILAC, 127"
724-11-40475-35051,7565,MWATCSA,3505,WRRL1,1,0,WCDMA,"-11-29-18,19","-37-55-50,43",BA,RIO REAL,Centro,"ESQUINA DA RUA SÃO PAULO C/ A RUA PROF, EDVALDO BO"
724-11-40475-35052,7565,MWATCSA,3505,WRRL1,2,120,WCDMA,"-11-29-18,19","-37-55-50,43",BA,RIO REAL,Centro,"ESQUINA DA RUA SÃO PAULO C/ A RUA PROF, EDVALDO BO"
724-11-40475-35053,7565,MWATCSA,3505,WRRL1,3,240,WCDMA,"-11-29-18,19","-37-55-50,43",BA,RIO REAL,Centro,"ESQUINA DA RUA SÃO PAULO C/ A RUA PROF, EDVALDO BO"
724-11-40475-35491,7565,MWATCSA,3549,WERS1,1,130,WCDMA,"-11-56-32,22","-38-04-56,94",BA,ENTRE RIOS,CENTRO,TRAVESSA ENTRE AS RUAS CÔNEGO PEREIRA E EUCLIDES M
724-11-40475-35503,7565,MWATCSA,3550,WFCB1,3,",240",WCDMA,"-11-53-09,88","-38-01-10,13",BA,ENTRE RIOS,FAZENDA CAPEBI,"BR 101 -  KM 53,5 FAZENDA CAPEBI"
724-11-40475-35531,7565,MWATCSA,3553,WESP1,1,"70,10",WCDMA,"-11-48-01,37","-37-56-45,43",BA,ESPLANADA,CENTRO,"RUA MONSENHOR ZACARIAS LUZ, S/N"
724-11-40475-36031,7565,MWATCSA,3603,WJAN1,1,0,WCDMA,"-11-34-01,10","-37-46-54,50",BA,JANDAÍRA,CENTRO,"PRAÇA DA SAUDADE, S/N"
724-11-40475-36033,7565,MWATCSA,3603,WJAN1,3,270,WCDMA,"-11-34-01,10","-37-46-54,50",BA,JANDAÍRA,CENTRO,"PRAÇA DA SAUDADE, S/N"
724-11-40475-36035,7565,MWATCSA,3603,WJAN1,5,0,WCDMA,"-11-34-01,10","-37-46-54,50",BA,JANDAÍRA,CENTRO,"PRAÇA DA SAUDADE, S/N"
724-11-40475-36037,7565,MWATCSA,3603,WJAN1,7,270,WCDMA,"-11-34-01,10","-37-46-54,50",BA,JANDAÍRA,CENTRO,"PRAÇA DA SAUDADE, S/N"
724-11-40475-36101,7565,MWATCSA,3610,WRRC1,1,90,WCDMA,"-11-28-55,30","-37-55-57,70",BA,RIO REAL,CENTRO,"RUA JOAQUIM DANTAS, AO LADO 93"
724-11-40475-36111,7565,MWATCSA,3611,WSTC1,1,30,WCDMA,"-11-51-10,60","-37-34-04,16",BA,CONDE,Centro,"RUA GERALDO LINS, S/N, AO LADO DA CASA 20"
724-11-40475-36115,7565,MWATCSA,3611,WSTC1,5,30,WCDMA,"-11-51-10,60","-37-34-04,16",BA,CONDE,Centro,"RUA GERALDO LINS, S/N, AO LADO DA CASA 20"
724-11-40475-36351,7565,MWATCSA,3635,WEPP1,1,10,WCDMA,"-11-47-34,26","-37-56-50,17",BA,ESPLANADA,CENTRO,"RUA DAS ACÁCIAS, S/N - BAIRRO CENTRO"
724-11-40475-38921,7565,MWATCSA,3892,WRIR1,1,50,WCDMA,"-11-29-15,2","-37-56-07,10",BA,RIO REAL,CENTRO,"RUA OLAVO BILAC, 127"
724-11-40475-45051,7565,MWATCSA,4505,WRRL1,1,0,WCDMA,"-11-29-18,19","-37-55-50,43",BA,RIO REAL,Centro,"ESQUINA DA RUA SÃO PAULO C/ A RUA PROF, EDVALDO BO"
724-11-40475-46033,7565,MWATCSA,4603,WJAN1,3,270,WCDMA,"-11-34-01,10","-37-46-54,50",BA,JANDAÍRA,CENTRO,"PRAÇA DA SAUDADE, S/N"
724-11-40475-46351,7565,MWATCSA,4635,WEPP1,1,10,WCDMA,"-11-47-34,26","-37-56-50,17",BA,ESPLANADA,CENTRO,"RUA DAS ACÁCIAS, S/N - BAIRRO CENTRO"
724-11-40475-48921,7565,MWATCSA,4892,WRIR1,1,50,WCDMA,"-11-29-15,2","-37-56-07,10",BA,RIO REAL,CENTRO,"RUA OLAVO BILAC, 127"
724-11-00279-08031,7567,MWCAJUA,803,GESC1,1,0,GSM,"-11-15-28,70","-37-26-02,10",SE,ESTÂNCIA,Alagoas,"RUA MONSENHOR VITORINO, N. 1113, BAIRRO ALAGOAS"
724-11-00679-08872,7567,MWCAJUA,887,GBOL1,2,170,GSM,"-10-53-56,30","-37-06-08,10",SE,ARACAJU,OLARIA,"RUA 6, S/N CONJUNTO MARIA DO CARMO II"
724-11-00679-09021,7567,MWCAJUA,902,GCAC1,1,200,GSM,"-10-54-46,58","-37-02-55,10",SE,ARACAJU,CENTRO,"RUA JOÃO PESSOA, 11 SALA 15"
